Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
1950,1,12,Don Lofgran,San Francisco,209,3422,1265,817,216,0.329,0.0,0.692,23.1,6.1,3.9,1.0,3.0,PHI
1950,2,24,Gerry Calabrese,St. John's,104,937,492,149,148,0.348,0.0,0.702,16.2,4.7,1.4,1.4,1.9,PHI
2023,2,52,Toumani Camara,Dayton,70,1739,527,343,87,0.45,0.337,0.758,24.8,7.5,4.9,1.2,2.0,PHO
2021,1,29,Day'Ron Sharpe,UNC,141,1864,840,749,139,0.565,0.364,0.612,13.2,6.0,5.3,1.0,5.7,PHO
2020,1,10,Jalen Smith,Maryland,207,3406,1766,1075,157,0.517,0.335,0.74,16.5,8.5,5.2,0.8,9.1,PHO
2019,1,6,Jarrett Culver,Texas Tech,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,PHO
2019,2,32,KZ Okpala,Stanford,98,965,222,148,47,0.409,0.286,0.667,9.8,2.3,1.5,0.5,1.0,PHO
2018,1,1,Deandre Ayton,Arizona,358,11066,5966,3761,585,0.592,0.244,0.761,30.9,16.7,10.5,1.6,34.8,PHO
2018,1,16,Zhaire Smith,Texas Tech,13,143,48,15,12,0.378,0.316,0.667,11.0,3.7,1.2,0.9,0.0,PHO
2018,2,31,Élie Okobo,Out US,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,PHO
2018,2,59,George King,Colorado,5,25,1,6,0,0.0,0.0,0.5,5.0,0.2,1.2,0.0,-0.1,PHO
2017,1,4,Josh Jackson,Kansas,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4.0,1.8,-1.7,PHO
2017,2,32,Davon Reed,Miami (FL),122,1299,373,212,92,0.408,0.385,0.667,10.6,3.1,1.7,0.8,1.5,PHO
2017,2,54,Alec Peters,Valparaiso,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,PHO
2016,1,4,Dragan Bender,Out US,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,PHO
2016,1,13,Georgios Papagiannis,Out US,39,477,160,123,29,0.514,0.0,0.857,12.2,4.1,3.2,0.7,0.4,PHO
2016,1,28,Skal Labissière,Kentucky,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1.0,4.4,PHO
2016,2,34,Tyler Ulis,Kentucky,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4.0,0.5,PHO
2015,1,13,Devin Booker,Kentucky,598,20354,14529,2413,2993,0.464,0.357,0.87,34.0,24.3,4.0,5.0,45.1,PHO
2015,2,44,Andrew Harrison,Kentucky,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7.0,2.0,2.8,3.2,PHO
2014,1,14,T.J. Warren,NC State,385,10365,5497,1515,446,0.505,0.351,0.78,26.9,14.3,3.9,1.2,20.9,PHO
2014,1,18,Tyler Ennis,Syracuse,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,PHO
2014,1,27,Bogdan Bogdanović,Out US,449,12950,6590,1520,1470,0.438,0.384,0.843,28.8,14.7,3.4,3.3,22.9,PHO
2013,1,5,Alex Len,Maryland,644,11374,4534,3529,551,0.51,0.324,0.681,17.7,7.0,5.5,0.9,23.2,PHO
2013,1,30,Nemanja Nedović,Out US,24,142,26,15,13,0.205,0.167,0.875,5.9,1.1,0.6,0.5,-0.4,PHO
2012,1,13,Kendall Marshall,UNC,160,3083,802,253,779,0.399,0.37,0.611,19.3,5.0,1.6,4.9,1.0,PHO
2011,1,13,Markieff Morris,Kansas,776,18295,8020,3824,1200,0.445,0.343,0.778,23.6,10.3,4.9,1.5,27.4,PHO
2010,2,46,Gani Lawal,Georgia Tech,1,2,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,PHO
2009,1,14,Earl Clark,Louisville,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3.0,0.5,2.9,PHO
2009,2,48,Taylor Griffin,Oklahoma,8,32,10,2,1,0.4,0.0,0.5,4.0,1.3,0.3,0.1,0.0,PHO
2008,1,15,Robin Lopez,Stanford,992,20937,8326,4660,819,0.537,0.297,0.743,21.1,8.4,4.7,0.8,49.6,PHO
2008,2,48,Malik Hairston,Oregon,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,PHO
2007,1,24,Rudy Fernández,Out US,249,5965,2254,608,554,0.399,0.36,0.84,24.0,9.1,2.4,2.2,14.2,PHO
2007,1,29,Alando Tucker,Wisconsin,51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1.0,0.3,0.4,PHO
2007,2,59,D.J. Strawberry,Maryland,33,270,73,28,30,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,PHO
2006,1,21,Rajon Rondo,Kentucky,957,28571,9337,4349,7584,0.456,0.324,0.611,29.9,9.8,4.5,7.9,61.8,PHO
2006,1,27,Sergio Rodríguez,Out US,353,5281,1747,525,1183,0.409,0.337,0.739,15.0,4.9,1.5,3.4,4.3,PHO
2005,1,21,Nate Robinson,Washington,618,13878,6807,1446,1826,0.423,0.36,0.796,22.5,11.0,2.3,3.0,27.8,PHO
2005,2,57,Marcin Gortat,Out US,806,20691,7951,6407,915,0.551,0.15,0.68,25.7,9.9,7.9,1.1,61.3,PHO
2004,1,7,Luol Deng,Duke,902,30941,13361,5468,2042,0.456,0.332,0.769,34.3,14.8,6.1,2.3,74.0,PHO
2003,1,17,Žarko Čabarkapa,Out US,150,1550,640,312,85,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,PHO
2002,1,9,Amar'e Stoudemire,Out US,846,26254,15994,6632,1050,0.537,0.236,0.761,31.0,18.9,7.8,1.2,92.5,PHO
2002,1,22,Casey Jacobsen,Stanford,287,5320,1488,516,304,0.393,0.352,0.769,18.5,5.2,1.8,1.1,6.2,PHO
2001,2,51,Alton Ford,Houston,73,524,186,124,11,0.507,0.0,0.697,7.2,2.5,1.7,0.2,0.8,PHO
2000,1,25,Jake Tsakalidis,Out US,315,5005,1497,1238,101,0.49,0.0,0.657,15.9,4.8,3.9,0.3,9.9,PHO
1999,1,9,Shawn Marion,UNLV,1163,40097,17700,10101,2198,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,PHO
1997,2,43,Stephen Jackson,Butler County Community College,858,27398,12976,3328,2634,0.414,0.333,0.798,31.9,15.1,3.9,3.1,36.1,PHO
1996,1,15,Steve Nash,Santa Clara,1217,38069,17387,3642,10335,0.49,0.428,0.904,31.3,14.3,3.0,8.5,129.7,PHO
1996,2,43,Ben Davis,Arizona,40,154,54,53,5,0.356,0.0,0.462,3.9,1.4,1.3,0.1,0.1,PHO
1995,1,21,Michael Finley,Wisconsin,1103,37996,17306,4804,3245,0.444,0.375,0.811,34.4,15.7,4.4,2.9,85.2,PHO
1995,1,27,Mario Bennett,Arizona State,68,606,269,182,24,0.534,0.333,0.511,8.9,4.0,2.7,0.4,1.9,PHO
1995,2,56,Chris Carr,Southern Illinois,297,4505,1988,658,294,0.416,0.338,0.807,15.2,6.7,2.2,1.0,3.9,PHO
1994,1,23,Wesley Person,Auburn,733,20727,8192,2402,1234,0.457,0.418,0.778,28.3,11.2,3.3,1.7,44.0,PHO
1994,2,29,Antonio Lang,Duke,143,1395,329,210,50,0.455,0.0,0.719,9.8,2.3,1.5,0.3,1.7,PHO
1994,2,50,Charles Claxton,Georgia,3,7,2,2,0,0.5,0.0,0.0,2.3,0.7,0.7,0.0,0.0,PHO
1994,2,52,Anthony Goldwire,Houston,266,4951,1667,359,737,0.407,0.386,0.792,18.6,6.3,1.3,2.8,6.4,PHO
1993,1,27,Malcolm Mackey,Georgia Tech,22,69,32,24,1,0.378,0.0,0.5,3.1,1.5,1.1,0.0,0.1,PHO
1992,1,22,Oliver Miller,Arkansas,493,11338,3625,2893,1061,0.534,0.116,0.639,23.0,7.4,5.9,2.2,21.1,PHO
1992,2,48,Brian Davis,Duke,68,374,131,55,22,0.317,0.333,0.735,5.5,1.9,0.8,0.3,0.0,PHO
1991,2,32,Chad Gallagher,Creighton,2,3,6,0,0,1.0,0.0,0.0,1.5,3.0,0.0,0.0,0.1,PHO
1991,2,46,Richard Dumas,Oklahoma State,102,2226,1080,351,111,0.509,0.231,0.694,21.8,10.6,3.4,1.1,4.5,PHO
1990,1,21,Jayson Williams,St. John's,475,9805,3472,3584,287,0.44,0.125,0.606,20.6,7.3,7.5,0.6,20.0,PHO
1990,2,31,Negele Knight,Dayton,276,4513,1699,351,780,0.436,0.263,0.73,16.4,6.2,1.3,2.8,4.2,PHO
1990,2,48,Cedric Ceballos,Cal State Fullerton,609,14712,8693,3258,723,0.5,0.309,0.753,24.2,14.3,5.3,1.2,40.4,PHO
1990,2,50,Miloš Babić,Tennessee Technological University,21,87,37,20,10,0.375,0.0,0.65,4.1,1.8,1.0,0.5,-0.1,PHO
1989,1,24,Anthony Cook,Arizona,116,1499,418,428,34,0.439,0.0,0.524,12.9,3.6,3.7,0.3,1.0,PHO
1989,2,46,Ricky Blanton,LSU,2,13,6,3,1,0.429,0.0,0.0,6.5,3.0,1.5,0.5,0.0,PHO
1989,2,51,Mike Morrison,Loyola (MD),36,153,72,20,11,0.338,0.286,0.8,4.3,2.0,0.6,0.3,-0.3,PHO
1989,2,52,Greg Grant,Trenton State University,274,3350,767,248,751,0.383,0.281,0.71,12.2,2.8,0.9,2.7,1.6,PHO
1988,1,7,Tim Perry,Temple,481,9436,3283,1911,436,0.485,0.318,0.648,19.6,6.8,4.0,0.9,14.6,PHO
1988,1,14,Dan Majerle,Central Michigan University,955,30206,10925,4265,2755,0.431,0.358,0.741,31.6,11.4,4.5,2.9,78.5,PHO
1988,2,28,Andrew Lang,Arkansas,737,15344,4431,3511,424,0.47,0.25,0.744,20.8,6.0,4.8,0.6,28.6,PHO
1988,2,38,Dean Garrett,Indiana,359,6969,1737,1810,204,0.48,0.0,0.677,19.4,4.8,5.0,0.6,14.1,PHO
1988,2,50,Steve Kerr,Arizona,910,16207,5437,1060,1658,0.479,0.454,0.864,17.8,6.0,1.2,1.8,47.2,PHO
1987,1,2,Armen Gilliam,UNLV,929,26421,12700,6401,1088,0.489,0.0,0.776,28.4,13.7,6.9,1.2,58.1,PHO
1987,3,53,Winston Crite,Texas A&M,31,264,87,65,15,0.479,0.0,0.76,8.5,2.8,2.1,0.5,0.1,PHO
1986,1,6,William Bedford,Memphis,238,2514,964,573,109,0.416,0.318,0.605,10.6,4.1,2.4,0.5,0.9,PHO
1986,2,39,Rafael Addison,Syracuse,379,5697,2186,780,339,0.449,0.282,0.772,15.0,5.8,2.1,0.9,4.9,PHO
1986,2,46,Jeff Hornacek,Iowa State,1077,33964,15659,3646,5281,0.496,0.403,0.877,31.5,14.5,3.4,4.9,108.9,PHO
1986,3,55,Kenny Gattison,Old Dominion,494,9927,3923,2327,444,0.52,0.083,0.649,20.1,7.9,4.7,0.9,16.9,PHO
1986,4,77,Grant Gondrezick,Pepperdine,91,1080,454,146,115,0.438,0.25,0.687,11.9,5.0,1.6,1.3,0.8,PHO
1985,1,10,Ed Pinckney,Villanova,793,15698,5378,3952,727,0.535,0.0,0.765,19.8,6.8,5.0,0.9,42.7,PHO
1985,2,32,Nick Vanos,Santa Clara,68,842,222,240,59,0.383,0.0,0.561,12.4,3.3,3.5,0.9,-0.1,PHO
1985,7,148,Georgi Glouchkov,Out US,49,772,239,163,32,0.402,1.0,0.574,15.8,4.9,3.3,0.7,-0.5,PHO
1984,1,13,Jay Humphries,Colorado,788,23062,8772,2003,4339,0.476,0.297,0.782,29.3,11.1,2.5,5.5,45.0,PHO
1984,2,36,Charles Jones,Louisville,201,3009,1015,758,206,0.493,0.111,0.611,15.0,5.0,3.8,1.0,4.5,PHO
1983,2,28,Rod Foster,UCLA,207,3446,1562,258,479,0.44,0.298,0.768,16.6,7.5,1.2,2.3,2.2,PHO
1982,1,15,David Thirdkill,Bradley,179,1469,510,209,84,0.457,0.091,0.565,8.2,2.8,1.2,0.5,1.3,PHO
1982,3,61,Charles Pittman,Maryland,234,3292,1060,718,204,0.546,0.0,0.711,14.1,4.5,3.1,0.9,4.2,PHO
1982,4,86,Rory White,University of South Alabama,324,5410,2387,749,232,0.506,0.077,0.681,16.7,7.4,2.3,0.7,6.5,PHO
1982,10,221,Dale Wilkinson,Idaho State University,12,45,14,4,2,0.25,0.0,0.857,3.8,1.2,0.3,0.2,-0.1,PHO
1981,1,20,Larry Nance,Clemson,920,30697,15687,7352,2393,0.546,0.145,0.755,33.4,17.1,8.0,2.6,109.6,PHO
1981,3,66,Craig Dykema,Cal State Long Beach,32,103,43,12,15,0.459,0.5,0.778,3.2,1.3,0.4,0.5,0.2,PHO
1979,1,22,Kyle Macy,Kentucky,551,14246,5259,1214,2198,0.501,0.337,0.873,25.9,9.5,2.2,4.0,36.0,PHO
1979,2,24,Johnny High,Nevada,274,4538,1396,617,525,0.435,0.105,0.619,16.6,5.1,2.3,1.9,4.7,PHO
1979,5,107,Mark Eaton,UCLA,875,25169,5216,6939,840,0.458,0.0,0.649,28.8,6.0,7.9,1.0,44.8,PHO
1979,8,165,Charles Jones,Albany State University,726,14095,1826,3253,623,0.48,0.0,0.618,19.4,2.5,4.5,0.9,24.6,PHO
1978,1,19,Marty Byrnes,Syracuse,263,4254,1495,586,409,0.463,0.0,0.736,16.2,5.7,2.2,1.6,4.2,PHO
1978,3,63,Joel Kramer,San Diego State,328,4184,1257,916,343,0.479,0.0,0.737,12.8,3.8,2.8,1.0,9.1,PHO
1978,4,85,Bob Miller,Cincinnati,2,8,4,5,1,0.667,0.0,0.0,4.0,2.0,2.5,0.5,0.1,PHO
1978,5,107,Andre Wakefield,Loyola Chicago,81,633,187,80,73,0.354,0.0,0.708,7.8,2.3,1.0,0.9,-1.1,PHO
1978,7,149,Steve Malovic,San Diego State,39,445,80,86,26,0.463,0.0,0.667,11.4,2.1,2.2,0.7,0.3,PHO
1977,1,5,Walter Davis,UNC,1033,28859,19521,3053,3878,0.511,0.0,0.851,27.9,18.9,3.0,3.8,76.9,PHO
1977,3,66,Mike Bratz,Stanford,586,10613,4081,1030,1851,0.407,0.0,0.83,18.1,7.0,1.8,3.2,11.1,PHO
1977,4,71,Greg Griffin,Idaho State University,36,422,145,103,24,0.361,0.0,0.639,11.7,4.0,2.9,0.7,-0.1,PHO
1977,6,115,Billy McKinney,Northwestern,476,9189,3823,677,1661,0.493,0.0,0.82,19.3,8.0,1.4,3.5,15.6,PHO
1977,7,136,Alvin Scott,Oral Roberts,627,10853,3088,1992,847,0.481,0.0,0.733,17.3,4.9,3.2,1.4,23.0,PHO
1976,1,10,Ron Lee,Oregon,448,9586,3285,1219,1688,0.416,0.0,0.705,21.4,7.3,2.7,3.8,10.7,PHO
1976,2,30,Al Fleming,Arizona,20,97,40,30,7,0.484,0.0,0.588,4.9,2.0,1.5,0.4,0.0,PHO
1976,2,33,Butch Feher,Vanderbilt,48,487,248,74,36,0.531,0.0,0.768,10.1,5.2,1.5,0.8,1.5,PHO
1976,3,45,Ira Terrell,SMU,127,2483,886,533,144,0.498,0.0,0.638,19.6,7.0,4.2,1.1,4.1,PHO
1975,1,4,Alvan Adams,Oklahoma,988,27203,13910,6937,4012,0.498,0.0,0.788,27.5,14.1,7.0,4.1,73.5,PHO
1975,1,16,Ricky Sobers,UNLV,821,22992,10902,2132,3525,0.459,0.0,0.843,28.0,13.3,2.6,4.3,32.0,PHO
1975,2,35,Allen Murphy,Louisville,2,18,5,4,0,0.2,0.0,0.429,9.0,2.5,2.0,0.0,-0.1,PHO
1975,3,54,Bayard Forrest,Grand Canyon University,139,2130,569,565,296,0.449,0.0,0.509,15.3,4.1,4.1,2.1,2.7,PHO
1975,5,76,Joe Pace,Coppin State University,79,557,255,168,27,0.467,0.0,0.598,7.1,3.2,2.1,0.3,1.1,PHO
1974,1,4,John Shumate,Notre Dame,318,9201,3920,2388,574,0.516,0.0,0.72,28.9,12.3,7.5,1.8,24.5,PHO
1974,2,31,Fred Saunders,Syracuse,210,2899,1107,624,224,0.443,0.0,0.682,13.8,5.3,3.0,1.1,3.1,PHO
1974,3,40,George Gervin,Eastern Michigan,791,26536,20708,3607,2214,0.511,0.0,0.844,33.5,26.2,4.6,2.8,88.1,PHO
1974,3,49,Earl Williams,Winston-Salem State,146,1882,664,814,126,0.432,0.0,0.475,12.9,4.5,5.6,0.9,2.7,PHO
1973,1,8,Mike Bantom,Saint Joseph's,706,19725,8568,4517,1623,0.468,0.0,0.692,27.9,12.1,6.4,2.3,34.8,PHO
1973,2,33,Gary Melchionni,Duke,137,2780,1074,329,298,0.444,0.0,0.831,20.3,7.8,2.4,2.2,3.9,PHO
1973,3,42,Joe Reaves,Bethel College,7,38,16,8,1,0.545,0.0,0.364,5.4,2.3,1.1,0.1,0.0,PHO
1973,8,128,Jim Owens,Arizona State,58,533,177,52,64,0.418,0.0,0.767,9.2,3.1,0.9,1.1,0.4,PHO
1972,1,4,Corky Calhoun,Penn,542,10901,2896,1962,601,0.46,0.0,0.782,20.1,5.3,3.6,1.1,14.4,PHO
1972,3,33,Scott English,Texas-El Paso,29,196,93,44,15,0.387,0.0,0.724,6.8,3.2,1.5,0.5,0.0,PHO
1972,3,34,Don Buse,University of Evansville,648,17070,4485,1507,2920,0.442,0.0,0.78,26.3,6.9,2.3,4.5,34.9,PHO
1972,3,42,Claude Terry,Stanford,72,711,287,61,65,0.467,0.0,0.818,9.9,4.0,0.8,0.9,1.0,PHO
1972,7,109,Bernie Fryer,BYU,111,2106,686,205,331,0.457,0.0,0.787,19.0,6.2,1.8,3.0,2.0,PHO
1971,1,14,John Roche,South Carolina,162,3450,1358,178,640,0.468,0.0,0.819,21.3,8.4,1.1,4.0,5.4,PHO
1971,3,48,Mo Layton,USC,264,4429,1826,353,699,0.448,0.0,0.747,16.8,6.9,1.3,2.6,4.5,PHO
1970,1,10,Greg Howard,New Mexico,92,852,312,227,53,0.388,0.0,0.697,9.3,3.4,2.5,0.6,0.6,PHO
1970,2,27,Fred Taylor,University of Texas Rio Grande Valley,88,835,385,140,69,0.364,0.0,0.592,9.5,4.4,1.6,0.8,-0.6,PHO
1970,6,95,Joe Thomas,Marquette,39,204,55,43,17,0.267,0.0,0.45,5.2,1.4,1.1,0.4,-0.6,PHO
1970,8,129,Steve Patterson,UCLA,350,5582,1552,1632,443,0.403,0.0,0.594,15.9,4.4,4.7,1.3,4.8,PHO
1969,1,2,Neal Walk,Florida,568,13832,7157,4392,1214,0.459,0.0,0.758,24.4,12.6,7.7,2.1,30.3,PHO
1969,3,33,Lamar Green,Morehead State University,360,6448,1863,2295,263,0.43,0.0,0.65,17.9,5.2,6.4,0.7,6.9,PHO
1969,4,44,Dennis Stewart,Michigan,2,6,4,3,1,0.25,0.0,1.0,3.0,2.0,1.5,0.5,0.0,PHO
1969,5,58,Rich Jones,Memphis,34,877,360,194,46,0.385,0.0,0.76,25.8,10.6,5.7,1.4,0.6,PHO
1968,1,8,Gary Gregor,South Carolina,296,7397,2905,2065,436,0.431,0.0,0.715,25.0,9.8,7.0,1.5,2.6,PHO
1968,2,21,Dick Cunningham,Murray State,358,3792,1012,1324,221,0.406,0.0,0.636,10.6,2.8,3.7,0.6,4.2,PHO
1968,4,49,Rich Jones,Memphis,34,877,360,194,46,0.385,0.0,0.76,25.8,10.6,5.7,1.4,0.6,PHO
1968,6,77,Rod Knowles,Davidson,8,40,9,9,0,0.286,0.0,0.333,5.0,1.1,1.1,0.0,-0.1,PHO
1968,11,147,Ron Boone,Idaho State University,379,10795,5284,1046,1273,0.454,0.0,0.854,28.5,13.9,2.8,3.4,11.5,PHO
2023,1,3,Scoot Henderson,Out US,62,1765,868,194,336,0.385,0.325,0.819,28.5,14.0,3.1,5.4,-1.7,POR
2023,1,23,Kris Murray,Iowa,62,1348,376,224,80,0.396,0.268,0.661,21.7,6.1,3.6,1.3,0.7,POR
2023,2,43,Rayan Rupert,Out US,39,633,155,92,62,0.335,0.359,0.76,16.2,4.0,2.4,1.6,-0.1,POR
2022,1,7,Shaedon Sharpe,Kentucky,112,2838,1299,396,188,0.445,0.35,0.772,25.3,11.6,3.5,1.7,1.7,POR
2022,2,57,Jabari Walker,Colorado,128,2319,854,639,105,0.448,0.292,0.755,18.1,6.7,5.0,0.8,3.1,POR
2020,1,16,Isaiah Stewart,Washington,235,6108,2196,1778,284,0.498,0.348,0.727,26.0,9.3,7.6,1.2,11.1,POR
2020,2,46,CJ Elleby,Washington State,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,POR
2019,1,25,Nassir Little,UNC,237,3735,1313,688,170,0.452,0.33,0.735,15.8,5.5,2.9,0.7,4.7,POR
2018,1,24,Anfernee Simons,Out US,319,8128,4489,784,928,0.432,0.386,0.873,25.5,14.1,2.5,2.9,8.6,POR
2017,1,15,Justin Jackson,UNC,280,4886,1676,654,285,0.423,0.319,0.796,17.5,6.0,2.3,1.0,5.3,POR
2017,1,20,Harry Giles,Duke,165,1935,888,573,180,0.508,0.244,0.661,11.7,5.4,3.5,1.1,3.1,POR
2017,1,26,Caleb Swanigan,Purdue,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,POR
2015,1,23,Rondae Hollis-Jefferson,Arizona,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9.0,5.5,1.9,12.9,POR
2013,1,10,CJ McCollum,Lehigh,731,23432,14231,2655,2778,0.454,0.399,0.806,32.1,19.5,3.6,3.8,50.5,POR
2013,2,39,Jeff Withey,Kansas,206,2072,666,518,64,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,POR
2013,2,40,Grant Jerrett,Arizona,8,51,16,9,3,0.269,0.067,1.0,6.4,2.0,1.1,0.4,-0.1,POR
2012,1,6,Damian Lillard,Weber State,842,30521,21151,3573,5659,0.438,0.371,0.897,36.2,25.1,4.2,6.7,110.8,POR
2012,1,11,Meyers Leonard,Illinois,456,7272,2545,1771,396,0.482,0.39,0.812,15.9,5.6,3.9,0.9,15.8,POR
2012,2,40,Will Barton,Memphis,679,17116,7625,2792,1817,0.43,0.355,0.787,25.2,11.2,4.1,2.7,26.5,POR
2012,2,41,Tyshawn Taylor,Kansas,61,491,174,33,57,0.354,0.36,0.684,8.0,2.9,0.5,0.9,-0.9,POR
2011,1,21,Nolan Smith,Duke,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1.0,1.2,-0.8,POR
2010,1,22,Elliot Williams,Memphis,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,POR
2010,2,34,Armon Johnson,Nevada,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1.0,1.2,-0.1,POR
2009,1,22,Victor Claver,Out US,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,POR
2009,2,33,Dante Cunningham,Villanova,715,14875,4133,2676,506,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,POR
2009,2,38,Jon Brockman,Washington,150,1570,320,472,49,0.488,0.0,0.618,10.5,2.1,3.1,0.3,3.7,POR
2009,2,55,Patty Mills,Saint Mary's,892,17995,7893,1469,1984,0.424,0.386,0.856,20.2,8.8,1.6,2.2,35.8,POR
2008,1,13,Brandon Rush,Kansas,481,10564,3250,1413,468,0.426,0.402,0.706,22.0,6.8,2.9,1.0,11.2,POR
2008,2,33,Joey Dorsey,Memphis,130,1488,344,513,55,0.534,0.0,0.375,11.4,2.6,3.9,0.4,2.9,POR
2008,2,36,Ömer Aşık,Out US,471,9216,2479,3362,280,0.528,0.0,0.551,19.6,5.3,7.1,0.6,20.9,POR
2008,2,55,Mike Taylor,Iowa State,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,POR
2007,1,1,Greg Oden,Ohio State,105,2028,840,656,51,0.574,0.0,0.658,19.3,8.0,6.2,0.5,7.3,POR
2007,2,37,Josh McRoberts,Duke,433,8271,2333,1686,901,0.463,0.34,0.705,19.1,5.4,3.9,2.1,18.5,POR
2007,2,42,Derrick Byars,Vanderbilt,2,37,10,11,1,0.273,0.0,1.0,18.5,5.0,5.5,0.5,0.1,POR
2007,2,52,Taurean Green,Florida,17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,POR
2007,2,53,Demetris Nichols,Syracuse,18,58,22,7,2,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,POR
2006,1,4,Tyrus Thomas,LSU,402,7932,3093,1938,347,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13.0,POR
2006,1,30,Joel Freeland,Out US,151,1821,477,518,65,0.459,0.0,0.728,12.1,3.2,3.4,0.4,3.2,POR
2006,2,31,James White,Cincinnati,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1.0,0.5,0.8,POR
2005,1,6,Martell Webster,Out US,580,13914,5056,1811,588,0.418,0.382,0.791,24.0,8.7,3.1,1.0,24.7,POR
2005,1,27,Linas Kleiza,Missouri,409,8185,3561,1470,321,0.435,0.335,0.763,20.0,8.7,3.6,0.8,13.6,POR
2004,1,13,Sebastian Telfair,Out US,564,12149,4183,898,1960,0.39,0.319,0.777,21.5,7.4,1.6,3.5,5.0,POR
2004,1,23,Sergei Monia,Out US,26,343,77,52,19,0.333,0.265,0.714,13.2,3.0,2.0,0.7,-0.2,POR
2004,2,46,Ha Seung-Jin,Out US,46,316,70,67,3,0.519,0.0,0.5,6.9,1.5,1.5,0.1,-0.2,POR
2003,1,23,Travis Outlaw,Out US,622,13026,5273,1974,514,0.423,0.337,0.744,20.9,8.5,3.2,0.8,16.5,POR
2002,1,21,Qyntel Woods,Northeast Mississippi Community College,167,2060,691,385,105,0.452,0.357,0.603,12.3,4.1,2.3,0.6,1.4,POR
2001,1,19,Zach Randolph,Michigan State,1116,34616,18578,10208,2049,0.471,0.273,0.764,31.0,16.6,9.1,1.8,81.1,POR
2001,2,50,Ruben Boumtje-Boumtje,Georgetown,44,276,43,57,6,0.368,0.0,0.556,6.3,1.0,1.3,0.1,0.2,POR
2000,1,28,Erick Barkley,St. John's,27,266,77,21,40,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0.2,POR
1997,1,18,Chris Anstey,Out US,155,2157,813,534,127,0.413,0.138,0.755,13.9,5.2,3.4,0.8,2.8,POR
1997,2,48,Alvin Williams,Villanova,460,12610,4161,1140,1877,0.421,0.313,0.76,27.4,9.0,2.5,4.1,21.7,POR
1996,1,17,Jermaine O'Neal,Out US,1011,27364,13309,7261,1369,0.467,0.147,0.715,27.1,13.2,7.2,1.4,66.0,POR
1996,2,46,Marcus Brown,Murray State,27,229,92,22,23,0.381,0.333,0.714,8.5,3.4,0.8,0.9,0.3,POR
1995,1,8,Shawn Respert,Michigan State,172,2350,851,226,177,0.414,0.34,0.816,13.7,4.9,1.3,1.0,2.1,POR
1994,1,17,Aaron McKie,Temple,793,19156,5871,2587,2126,0.438,0.35,0.779,24.2,7.4,3.3,2.7,40.0,POR
1994,2,43,Shawnelle Scott,St. John's,105,634,189,228,20,0.464,0.0,0.465,6.0,1.8,2.2,0.2,1.3,POR
1993,1,21,James Robinson,Alabama,381,6935,2882,660,715,0.394,0.348,0.666,18.2,7.6,1.7,1.9,5.8,POR
1993,2,48,Kevin Thompson,NC State,14,58,13,13,3,0.429,0.0,0.5,4.1,0.9,0.9,0.2,0.0,POR
1992,1,26,Dave Johnson,Syracuse,59,475,204,64,17,0.365,0.2,0.663,8.1,3.5,1.1,0.3,-0.3,POR
