Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
1991,1,2,Kenny Anderson,Georgia Tech,858,25868,10789,2641,5196,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,BRK
1990,1,1,Derrick Coleman,Syracuse,781,25903,12884,7232,1985,0.447,0.295,0.769,33.2,16.5,9.3,2.5,64.3,BRK
1990,1,22,Tate George,UConn,177,2019,736,180,325,0.414,0.071,0.82,11.4,4.2,1.0,1.8,1.3,BRK
1989,1,12,Mookie Blaylock,Oklahoma,889,31026,11962,3659,5972,0.409,0.336,0.736,34.9,13.5,4.1,6.7,71.8,BRK
1989,2,32,Stanley Brundy,DePaul,16,128,37,26,3,0.5,0.0,0.389,8.0,2.3,1.6,0.2,0.2,BRK
1988,1,4,Chris Morris,Auburn,747,18748,8184,3544,1182,0.441,0.306,0.739,25.1,11.0,4.7,1.6,37.4,BRK
1988,2,32,Charles Shackleford,NC State,303,4614,1625,1448,170,0.483,0.0,0.654,15.2,5.4,4.8,0.6,7.3,BRK
1987,1,3,Dennis Hopson,Ohio State,334,7509,3633,939,539,0.431,0.271,0.765,22.5,10.9,2.8,1.6,7.1,BRK
1987,3,48,Jamie Waller,Virginia Union University,9,91,42,13,3,0.4,0.0,0.556,10.1,4.7,1.4,0.3,-0.2,BRK
1986,1,13,Pearl Washington,Syracuse,194,4044,1660,370,733,0.452,0.184,0.746,20.8,8.6,1.9,3.8,1.9,BRK
1985,2,36,Yvon Joseph,Georgia Tech,1,5,2,0,0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,BRK
1985,2,38,Fernando Martín,Out US,24,146,22,28,9,0.29,0.0,0.364,6.1,0.9,1.2,0.4,-0.4,BRK
1984,1,17,Jeff Turner,Vanderbilt,612,11244,3697,2036,635,0.467,0.344,0.769,18.4,6.0,3.3,1.0,8.9,BRK
1983,3,59,Bruce Kuczenski,UConn,15,119,28,23,8,0.27,0.0,0.667,7.9,1.9,1.5,0.5,-0.4,BRK
1982,1,13,Sleepy Floyd,Georgetown,957,26383,12260,2494,5175,0.444,0.324,0.815,27.6,12.8,2.6,5.4,50.6,BRK
1982,1,21,Eddie Phillips,Alabama,48,416,152,77,29,0.406,0.0,0.678,8.7,3.2,1.6,0.6,0.1,BRK
1982,4,82,Tony Brown,Arkansas,360,6006,2163,766,563,0.437,0.259,0.719,16.7,6.0,2.1,1.6,4.9,BRK
1981,1,3,Buck Williams,Maryland,1307,42464,16784,13017,1646,0.549,0.167,0.664,32.5,12.8,10.0,1.3,120.1,BRK
1981,1,10,Albert King,Maryland,534,12836,6470,2262,1171,0.461,0.268,0.791,24.0,12.1,4.2,2.2,16.3,BRK
