PTS per game,TBR per game,AST per game,WS,Pick,College
5.5,4.3,1.3,10.8,4,US
20.0,5.0,3.1,67.8,1,US
18.0,3.3,3.0,75.6,9,US
19.7,3.4,2.1,75.6,11,US
15.7,6.2,1.2,20.1,14,US
24.8,4.3,4.6,44.4,13,US
17.5,3.7,4.5,31.9,7,US
5.0,3.3,0.6,8.7,15,Out US
10.9,2.8,1.3,15.4,19,US
10.9,2.9,3.8,-0.2,7,Out US
8.9,2.2,1.0,21.1,11,US
13.6,2.7,2.5,30.5,20,Out US
1.2,0.7,0.8,0.0,20,US
11.3,3.0,5.1,48.3,20,US
22.5,6.2,2.7,108.5,3,US
2.9,1.8,0.7,-1.6,5,Out US
8.6,4.7,1.6,51.6,18,US
10.1,6.1,1.1,39.4,3,US
6.1,5.1,0.6,36.4,5,US
9.3,3.0,3.2,70.5,15,US
14.3,3.5,3.8,47.2,13,US
10.9,4.5,2.0,38.8,9,US
11.9,6.5,1.6,32.8,5,US
10.1,3.4,2.0,29.5,13,US
9.8,10.3,1.0,117.0,4,US
6.7,1.9,1.7,0.1,8,US
14.6,1.9,3.5,25.2,3,US
7.9,2.1,1.4,5.6,15,US
3.0,0.9,0.7,-0.3,16,US
7.5,3.4,1.1,8.4,18,US
9.6,5.7,0.9,19.0,15,US
5.3,1.3,1.1,0.0,15,US
8.6,2.2,5.4,2.1,19,US
3.2,2.2,0.7,-0.3,5,US
7.6,5.1,1.5,6.5,9,US
8.8,6.4,1.9,1.8,5,Out US
15.8,3.7,4.5,0.4,5,US
20.0,5.0,6.5,1.1,1,US
8.1,2.9,5.2,-0.5,7,Out US
5.6,2.8,0.7,-0.4,15,Out US
10.0,2.8,2.1,19.7,12,US
4.1,2.5,0.6,0.4,18,US
6.2,3.1,1.5,6.9,8,US
11.4,3.0,1.8,43.9,8,US
12.7,12.4,1.2,75.4,9,US
14.0,3.1,3.9,11.6,8,US
13.0,8.2,2.1,50.4,7,US
5.2,2.6,0.7,4.5,15,US
12.6,2.9,3.6,28.7,15,US
6.0,4.2,0.9,7.1,2,Out US
7.1,2.2,1.1,1.8,9,US
3.6,1.0,1.9,-0.8,14,US
12.1,4.6,2.1,29.4,11,US
4.4,4.6,0.4,26.6,19,US
7.2,5.7,0.6,47.9,18,US
2.4,0.5,1.0,-0.2,19,US
16.7,6.0,4.1,99.9,3,US
8.5,2.2,2.7,32.9,10,US
17.3,2.9,2.4,55.3,11,US
10.9,3.8,1.3,9.4,19,US
7.0,4.5,1.2,41.5,11,US
16.1,2.2,4.5,86.2,18,US
11.6,3.1,1.5,20.7,20,US
9.3,3.4,1.1,42.1,8,US
7.1,5.2,0.9,44.2,9,US
14.9,2.4,1.9,72.2,18,US
19.2,3.6,9.3,80.7,2,US
17.2,3.8,3.0,44.4,12,US
11.4,1.8,5.2,24.4,17,US
9.7,4.6,1.3,8.6,4,US
4.6,1.5,2.6,-0.4,10,US
10.9,5.3,1.3,29.0,15,US
7.9,6.5,1.1,15.2,4,US
6.8,3.5,0.8,5.3,15,US
4.7,2.2,0.7,2.6,9,US
9.2,3.0,3.4,35.6,17,US
11.6,7.2,1.6,34.1,11,US
20.1,10.1,3.1,117.1,1,US
4.2,4.2,0.8,5.0,4,US
7.5,3.7,0.8,17.6,19,US
8.2,8.2,1.6,24.7,6,US
8.3,6.8,0.9,1.0,20,US
16.7,2.7,3.5,42.9,1,US
3.1,2.0,0.4,0.0,4,US
20.3,3.8,6.0,68.8,2,US
4.7,4.4,0.6,6.5,12,US
7.7,6.0,0.9,0.9,3,US
15.3,4.2,2.2,36.6,14,US
15.2,5.1,2.7,23.9,2,US
1.8,2.1,0.5,-0.5,11,US
10.1,2.3,3.2,14.9,20,US
13.4,3.1,2.0,24.4,4,US
16.1,11.0,2.9,60.8,4,US
15.3,3.0,3.7,29.8,13,US
14.9,10.5,2.4,30.8,4,US
7.8,1.8,3.0,23.7,17,US
7.7,5.1,1.2,8.0,4,US
2.6,2.1,0.1,-0.1,12,US
18.7,9.9,2.0,114.8,2,US
3.3,4.2,0.3,-1.3,18,US
6.6,5.2,1.1,6.5,11,US
8.9,7.4,0.9,5.0,2,US
1.9,1.0,0.5,-0.2,18,US
8.4,4.1,1.8,7.2,7,US
1.8,0.5,0.1,-0.1,8,US
4.7,5.5,0.6,0.0,15,US
6.8,4.1,2.0,1.9,4,US
11.6,7.1,1.6,3.6,4,US
11.9,3.3,2.7,2.0,3,US
1.1,0.2,0.3,-0.2,4,US
2.3,1.0,1.2,-1.8,14,US
19.2,8.9,1.7,58.5,8,US
4.3,1.7,0.5,0.2,20,US
9.2,5.8,3.7,4.1,19,US
11.9,3.9,1.7,10.1,7,Out US
5.9,2.1,0.7,5.0,14,US
9.1,5.6,0.7,4.3,2,US
14.0,4.9,1.8,56.0,7,US
19.6,3.5,2.3,55.2,11,US
3.5,2.9,0.7,10.4,6,US
24.8,4.7,6.4,135.2,7,US
7.1,4.3,0.7,5.8,14,US
9.7,2.1,1.7,30.5,18,Out US
2.1,1.4,0.3,0.5,9,US
6.0,3.1,0.3,6.5,9,US
6.3,7.0,0.9,30.7,11,Out US
8.3,3.1,0.8,19.7,11,Out US
11.2,4.3,2.2,58.5,3,US
17.1,5.0,2.7,59.1,5,US
10.8,7.8,1.5,50.3,14,US
16.7,4.3,3.1,125.3,5,US
4.1,4.7,0.5,18.7,8,US
3.7,3.0,0.2,2.2,11,US
10.9,6.4,1.0,60.3,1,US
4.8,5.2,0.6,3.9,16,US
15.2,4.5,5.0,61.9,3,US
10.3,5.3,0.7,32.1,16,US
8.9,4.8,0.9,8.8,17,US
9.4,8.6,0.8,56.2,11,US
17.7,3.3,8.2,85.0,14,US
21.0,3.9,3.5,79.3,5,US
6.5,3.9,1.0,4.0,14,US
3.1,2.4,0.3,-0.6,3,US
18.2,4.1,3.5,93.1,7,US
3.7,1.8,0.5,0.8,6,US
6.3,2.7,3.9,28.6,14,US
17.7,7.7,1.8,35.6,1,US
4.4,3.5,0.4,4.7,13,US
17.3,4.3,2.5,51.1,5,US
9.4,1.9,5.5,47.2,16,US
4.6,2.8,0.3,0.1,18,US
14.5,9.1,1.4,147.0,8,US
9.9,4.1,2.1,26.9,17,US
8.7,4.0,1.7,12.9,14,US
17.1,2.7,5.6,67.9,20,US
17.7,6.2,2.5,71.3,11,US
8.6,6.6,1.4,9.9,8,US
5.7,3.3,0.6,4.4,7,US
9.3,1.9,3.5,23.5,9,US
4.5,3.8,0.6,0.7,10,US
7.7,10.3,1.1,33.5,3,US
8.8,5.1,1.4,5.0,13,US
11.2,5.9,1.1,15.9,1,US
23.2,6.5,5.1,93.4,4,US
0.5,2.5,0.5,-0.1,12,US
3.6,1.9,0.8,0.2,7,US
4.6,1.1,0.8,1.0,16,US
15.0,15.0,2.7,78.0,3,US
4.7,1.6,1.4,0.4,12,US
9.0,5.9,1.1,3.7,7,US
3.3,1.5,0.8,-0.8,16,US
12.7,8.6,1.7,43.6,7,US
2.3,1.9,0.4,0.4,20,US
1.7,1.1,1.3,-0.1,15,US
30.1,22.9,4.4,247.3,3,US
3.5,2.5,0.4,0.0,11,US
11.7,4.3,7.8,33.3,5,US
4.2,1.8,0.4,-0.7,6,US
1.3,0.3,0.3,0.0,8,US
5.1,2.2,2.6,1.9,16,US
11.3,8.0,4.2,53.2,3,US
7.1,2.1,2.1,3.8,11,US
4.2,1.3,1.0,-0.7,19,US
14.4,4.1,3.7,38.9,3,US
12.2,3.8,4.6,62.7,12,US
6.3,3.2,1.8,9.0,1,US
4.5,1.3,1.0,-0.9,10,US
5.8,3.3,2.0,-1.0,4,US
7.7,2.5,2.0,2.7,9,US
5.4,3.6,1.1,2.5,19,US
22.8,8.6,2.3,108.8,3,US
2.5,1.6,0.4,0.1,15,US
9.5,6.6,2.6,4.3,4,Out US
12.3,3.8,0.7,1.5,20,US
13.3,7.6,1.4,7.5,3,US
9.4,6.2,1.1,3.8,17,US
19.8,4.1,3.3,5.6,2,Out US
5.4,3.0,0.8,5.4,18,US
10.1,3.6,1.6,26.8,12,US
0.0,0.0,0.0,0.0,16,US
10.4,5.7,1.0,14.7,18,US
12.0,4.4,1.5,39.3,14,US
6.7,3.9,1.0,31.9,14,US
15.8,5.6,2.0,61.0,8,US
19.0,9.2,1.6,65.9,1,Out US
7.1,2.6,0.9,8.7,15,Out US
12.6,4.0,2.0,83.0,13,US
3.6,3.7,0.9,20.1,18,US
3.9,6.2,0.4,23.0,9,US
15.4,2.9,2.6,9.6,14,US
4.4,1.2,2.2,2.4,16,US
1.9,1.9,0.3,0.0,18,Out US
7.0,4.8,2.1,66.3,11,US
2.8,1.9,0.3,-0.1,20,US
5.2,3.6,0.4,2.0,12,US
7.1,2.4,0.7,2.7,16,US
9.1,3.5,1.7,20.8,20,US
7.0,1.8,1.1,3.1,19,US
21.8,11.1,2.5,162.8,1,US
15.4,8.8,2.3,20.1,1,US
11.7,6.6,3.6,56.0,3,US
11.6,2.6,1.4,13.4,16,US
1.4,1.8,0.1,-0.2,17,Out US
10.7,2.3,7.0,53.7,1,US
8.1,5.6,0.9,27.6,11,US
11.5,5.5,2.4,73.7,5,US
8.3,4.0,2.7,13.8,6,US
7.8,5.9,1.5,23.0,20,US
8.4,5.4,1.3,4.6,7,US
17.4,8.1,2.0,70.4,2,US
17.9,2.1,4.4,84.1,18,US
12.6,4.2,2.0,33.3,6,US
21.0,12.5,1.8,120.8,1,US
7.4,4.5,1.0,6.2,15,US
7.4,1.6,1.7,4.5,7,US
8.4,4.1,1.7,0.4,7,Out US
15.8,4.0,1.7,3.2,6,US
8.2,2.8,1.4,1.6,13,US
4.9,3.4,0.9,9.1,18,Out US
3.3,1.9,0.3,2.7,18,US
14.1,3.9,4.1,19.9,20,US
13.9,6.8,1.2,44.0,11,US
20.0,6.4,3.0,99.3,15,US
20.8,6.3,3.7,88.5,10,US
6.7,4.2,0.4,20.2,13,US
8.4,2.1,2.9,18.6,11,US
5.6,3.0,0.7,6.7,17,US
16.8,4.9,1.9,48.5,17,US
7.5,2.2,2.3,16.5,14,US
6.8,4.0,1.0,27.6,12,US
7.4,7.1,0.8,52.7,10,US
7.5,2.2,1.0,31.0,15,US
2.0,2.0,0.2,0.3,14,US
10.1,3.2,1.7,17.1,14,US
8.0,7.9,0.9,86.9,13,US
9.0,3.1,2.3,24.6,7,US
14.8,6.1,1.4,56.6,2,US
18.2,3.0,3.0,174.4,11,US
14.7,5.1,2.8,38.9,4,US
15.3,6.1,1.3,45.7,2,US
11.3,3.4,4.8,52.0,18,US
13.2,7.8,2.3,30.4,2,US
18.9,9.5,2.9,20.9,8,US
10.8,5.9,1.7,36.1,14,US
5.2,1.8,1.9,16.5,13,US
7.6,4.7,1.2,15.8,3,US
14.8,6.0,2.5,18.2,12,US
4.0,1.6,1.0,-0.2,13,US
7.5,6.0,1.2,27.6,8,US
19.0,8.0,4.0,81.1,1,US
15.7,2.3,2.8,41.1,7,US
11.9,4.2,1.2,6.1,14,US
1.1,0.5,0.4,-0.1,12,Out US
6.3,2.4,3.0,29.9,4,Out US
11.2,7.6,1.3,24.6,6,US
8.2,4.9,0.7,26.9,8,US
5.3,3.2,0.7,4.0,12,US
8.2,9.0,0.8,102.1,2,Out US
10.1,4.9,1.9,9.5,3,Out US
10.3,4.7,1.5,32.8,18,US
13.3,8.4,3.7,77.0,4,US
8.3,6.8,0.7,2.5,1,US
11.0,4.6,1.2,9.9,14,US
8.0,6.4,0.8,30.5,7,US
12.0,7.5,1.3,69.8,2,US
