Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,Season,Salary,Team
Sidy Cissoko,SF,19.0,12.0,141.0,16.0,33.0,0.485,1.0,12.0,0.083,15.0,21.0,0.714,12.0,15.0,0.8,8.0,14.0,22.0,10.0,7.0,3.0,3.0,18.0,45.0,0.2,0.1,0.3,2023-24,1119563.0,SAS
Brandon Clarke,PF,27.0,6.0,134.0,33.0,59.0,0.559,1.0,6.0,0.167,32.0,53.0,0.604,1.0,7.0,0.143,13.0,19.0,32.0,9.0,5.0,6.0,3.0,8.0,68.0,0.1,0.2,0.3,2023-24,12500000.0,MEM
Jordan Clarkson,SG,31.0,55.0,1682.0,337.0,816.0,0.413,91.0,309.0,0.294,246.0,507.0,0.485,177.0,201.0,0.881,49.0,139.0,188.0,277.0,35.0,6.0,146.0,81.0,942.0,0.1,0.1,0.2,2023-24,23487629.0,UTA
Nic Claxton,C,24.0,71.0,2116.0,366.0,582.0,0.629,1.0,5.0,0.2,365.0,577.0,0.633,108.0,196.0,0.551,193.0,513.0,706.0,147.0,46.0,146.0,93.0,175.0,841.0,3.5,3.2,6.7,2023-24,9625000.0,BRK
Noah Clowney,PF,19.0,23.0,370.0,50.0,93.0,0.538,12.0,33.0,0.364,38.0,60.0,0.633,21.0,30.0,0.7,26.0,55.0,81.0,18.0,8.0,16.0,15.0,25.0,133.0,0.5,0.4,0.9,2023-24,3089520.0,BRK
Amir Coffey,SF,26.0,70.0,1460.0,166.0,352.0,0.472,70.0,184.0,0.38,96.0,168.0,0.571,61.0,71.0,0.859,29.0,119.0,148.0,76.0,41.0,14.0,33.0,102.0,463.0,1.6,1.0,2.6,2023-24,3666667.0,LAC
John Collins,PF,26.0,68.0,1901.0,397.0,746.0,0.532,86.0,232.0,0.371,311.0,514.0,0.605,147.0,185.0,0.795,157.0,418.0,575.0,77.0,40.0,61.0,98.0,191.0,1027.0,3.1,1.3,4.4,2023-24,25340000.0,UTA
Zach Collins,C,26.0,69.0,1526.0,298.0,616.0,0.484,58.0,181.0,0.32,240.0,435.0,0.552,122.0,162.0,0.753,118.0,252.0,370.0,194.0,34.0,52.0,132.0,206.0,776.0,0.4,1.5,1.8,2023-24,7700000.0,SAS
Mike Conley,PG,36.0,76.0,2193.0,294.0,644.0,0.457,179.0,405.0,0.442,115.0,239.0,0.481,102.0,112.0,0.911,37.0,181.0,218.0,449.0,88.0,17.0,102.0,128.0,869.0,5.0,3.3,8.2,2023-24,24360000.0,MIN
Pat Connaughton,SF,31.0,76.0,1676.0,151.0,347.0,0.435,82.0,238.0,0.345,69.0,109.0,0.633,44.0,58.0,0.759,51.0,188.0,239.0,161.0,40.0,19.0,49.0,99.0,428.0,1.6,1.2,2.8,2023-24,9423869.0,MIL
